customer_id,customer_name,customer_address,customer_city,customer_state,customer_zip_code,customer_contact_number,customer_email
c6ca135b-3acc-42ca-ac3b-0309c1b5b745,Linda Thomas,248 Pacheco Extensions,New Sarah,Vermont,16018,(581)481-0817x8166,fhensley@example.com
d3ea3c25-050a-4dbb-90dc-db3c59cdddca,Erik Wilson,8541 Beck Greens Apt. 554,New Stephaniemouth,Rhode Island,35667,(878)369-7160,justinsmith@example.org
1d0b4bca-de44-40d5-ae06-dc52a54e860f,Susan Barker,690 Tami Park Suite 040,Kennedymouth,North Dakota,82216,001-792-451-0476,michael00@example.org
95fa2731-0290-4bbe-a377-8cf2c7c56cb1,Jeffrey Whitaker,339 Garrison Estates,New Michelle,Maine,96524,001-464-802-1039,sharonwade@example.net
e20fa2ab-c976-4cc0-8c56-564444bbb438,Samuel Morales,2721 Elizabeth Fork,West Charlesshire,South Dakota,49144,001-683-930-8087,ithomas@example.com
bd7312df-80d4-4857-ae79-fad668634dea,Jason Hernandez,8616 Fisher Crescent,North Jacquelinebury,Kansas,89026,+1-418-286-7552x322,fbeasley@example.net
5c438e40-2da6-44b7-ba60-3dca55c6b3f8,Steven Roberts,5233 Jones Islands Suite 137,New Morganside,Virginia,06827,6409500480,fisheremily@example.com
abc6809e-8eaa-488d-8f4a-4d1605e8ce91,Traci Jimenez,014 Davies Islands,Susanshire,Colorado,77811,001-580-940-1384,tyler92@example.com
3ce16f8f-d5c3-4ef0-a64c-944eb52d4c79,Alicia Johns,2876 Jacob Divide Suite 848,Adambury,Alabama,25516,+1-279-955-7657x8904,coxjames@example.com
0ba77b58-13a3-46f8-9a4a-2fc40b04f224,Mary Moore,54082 Amanda Coves Suite 659,East Jacob,New York,31935,(513)331-2325,garciajohn@example.net
